B_i,B_j,B_ij
0,0,-1.721207e+00
1,0,-1.477408e+00
2,0,-1.113494e+00
3,0,-7.819444e-01
4,0,-4.466618e-01
5,0,-1.391269e-01
6,0,-9.554060e-02
7,0,-3.100659e-01
8,0,-5.637781e-01
9,0,-8.615948e-01
10,0,-1.292442e+00
11,0,-1.004804e+00
12,0,-1.785137e+00
13,0,-1.050022e+00
14,0,-9.901125e-01
15,0,-8.177175e-01
16,0,-5.670848e-01
17,0,-2.423771e-01
18,0,9.254320e-03
19,0,9.177220e-02
20,0,1.686605e-01
21,0,2.663006e-01
22,0,3.693917e-01
23,0,4.384214e-01
24,0,4.537303e-01
25,0,4.514481e-01
26,0,4.141760e-01
27,0,3.201997e-01
28,0,1.990854e-01
29,0,4.252640e-02
30,0,1.649196e-01
31,0,3.465478e-01
32,0,5.043309e-01
33,0,6.080565e-01
34,0,6.526507e-01
35,0,1.261796e+00
36,0,6.422118e-01
37,0,9.579153e-01
38,0,6.971210e-01
39,0,4.816140e-01
40,0,3.229142e-01
41,0,1.127008e-01
42,0,1.106989e-01
43,0,3.119514e-01
44,0,5.008290e-01
45,0,6.620918e-01
46,0,8.632767e-01
47,0,7.523046e-01
48,0,-6.474027e-01
49,0,-6.621272e-01
50,0,-2.926490e-01
51,0,-6.712097e-02
52,0,1.980760e-02
53,0,2.836135e-02
54,0,3.268906e-02
55,0,1.622432e-01
56,0,2.656125e-01
57,0,3.420560e-01
58,0,3.911808e-01
59,0,3.926093e-01
60,0,3.608061e-01
61,0,3.007579e-01
62,0,2.524181e-01
63,0,1.566090e-01
64,0,8.418825e-02
65,0,1.614267e-02
66,0,-2.465560e-01
67,0,-5.783559e-01
68,0,-8.885866e-01
69,0,-1.194978e+00
70,0,-1.475255e+00
71,0,-1.839291e+00
72,0,4.271856e-01
73,0,3.782675e-01
74,0,3.251470e-01
75,0,2.534203e-01
76,0,1.861701e-01
77,0,9.850350e-02
78,0,1.236983e-02
79,0,4.832245e-02
80,0,9.555638e-02
81,0,1.406802e-01
82,0,2.092215e-01
83,0,2.870195e-01
84,0,3.794488e-01
85,0,4.561665e-01
86,0,5.077506e-01
87,0,4.736960e-01
88,0,3.922252e-01
89,0,2.602099e-01
90,0,7.604045e-02
91,0,1.224330e-01
92,0,2.801954e-01
93,0,3.925799e-01
94,0,3.949973e-01
95,0,3.022872e-01
96,0,1.209590e-01
97,0,-1.311984e-01
98,0,-3.254659e-01
99,0,-4.097028e-01
100,0,-3.854224e-01
101,0,-2.770704e-01
102,0,-1.210157e-01
103,0,-9.712913e-02
104,0,-3.470986e-01
105,0,-5.580536e-01
106,0,-7.127638e-01
107,0,-7.774240e-01
108,0,-7.480817e-01
109,0,-6.721671e-01
110,0,-5.401239e-01
111,0,-4.210958e-01
112,0,-3.072590e-01
113,0,-1.766088e-01
114,0,-7.372512e-02
115,0,2.178659e-02
116,0,1.698252e-01
117,0,2.958931e-01
118,0,3.863018e-01
119,0,4.406042e-01
120,0,4.504773e-01
121,0,1.065596e+00
122,0,7.014848e-01
123,0,6.236274e-01
124,0,5.136320e-01
125,0,3.552340e-01
126,0,1.665770e-01
127,0,4.366511e-02
128,0,1.944201e-01
129,0,3.233776e-01
130,0,4.075904e-01
131,0,4.870592e-01
132,0,5.073057e-01
133,0,5.043790e-01
134,0,4.753661e-01
135,0,4.104882e-01
136,0,3.068696e-01
137,0,1.818743e-01
138,0,3.728718e-02
139,0,7.868497e-02
140,0,1.816227e-01
141,0,2.430670e-01
142,0,2.820238e-01
143,0,2.703979e-01
144,0,-6.485444e-02
145,0,1.178936e+00
146,0,5.357467e-01
147,0,4.717122e-01
148,0,3.764506e-01
149,0,2.475892e-01
150,0,8.819686e-02
151,0,-3.824354e-02
152,0,-1.703815e-01
153,0,-3.153424e-01
154,0,-4.695306e-01
155,0,-5.797083e-01
156,0,-1.188912e+00
157,0,1.574078e-01
158,0,6.238765e-01
159,0,4.431494e-01
160,0,3.101901e-01
161,0,1.925681e-01
162,0,7.790572e-02
163,0,3.663680e-02
164,0,1.787644e-01
165,0,3.057185e-01
166,0,4.157761e-01
167,0,4.653207e-01
168,0,5.071658e-01
169,0,4.827673e-01
170,0,4.519992e-01
171,0,3.746680e-01
172,0,2.762549e-01
173,0,1.553839e-01
174,0,3.598600e-02
175,0,3.628561e-02
176,0,8.743303e-02
177,0,1.931031e-01
178,0,3.952305e-01
179,0,7.205417e-01
180,0,5.461416e-01
181,0,2.464024e-01
182,0,2.307973e-02
183,0,7.398517e-02
184,0,9.415913e-02
185,0,7.514902e-02
186,0,3.318345e-02
187,0,5.560888e-02
188,0,1.424785e-01
189,0,2.075849e-01
190,0,2.324227e-01
191,0,2.166725e-01
192,0,8.393704e-01
