index,center,x,y,u_exact,u_interp
0,[0 0],-0.293272,-1.023136,-1.746260,-1.745246,-1.013771e-03
1,[0 0],-0.297173,-0.922322,-1.619659,-1.619791,1.324223e-04
2,[0 0],-0.315381,-0.823090,-1.460584,-1.460545,-3.900373e-05
4,[0 0],-0.392954,-0.637377,-1.126181,-1.126170,-1.087967e-05
3,[0 0],-0.347526,-0.727460,-1.289851,-1.289869,1.771960e-05
5,[0 0],-0.450740,-0.554676,-0.984603,-0.984611,8.502414e-06
6,[0 0],-0.519707,-0.481041,-0.875988,-0.875980,-8.225689e-06
7,[0 0],-0.598451,-0.417971,-0.807398,-0.807408,9.814275e-06
8,[0 0],-0.685369,-0.366748,-0.782770,-0.782755,-1.467462e-05
9,[0 0],-0.778693,-0.328417,-0.803528,-0.803557,2.872181e-05
10,[0 0],-0.876522,-0.303758,-0.868814,-0.868733,-8.067373e-05
11,[0 0],-0.976864,-0.293272,-0.975236,-0.975641,4.053698e-04
12,[0 1],-1.023136,-0.706728,-1.794468,-1.791833,-2.634613e-03
13,[0 1],-0.926688,-0.703296,-1.745686,-1.746017,3.307854e-04
14,[0 1],-0.831605,-0.686763,-1.665321,-1.665231,-8.956400e-05
15,[0 1],-0.739659,-0.657436,-1.544354,-1.544389,3.514526e-05
16,[0 1],-0.652563,-0.615863,-1.376428,-1.376411,-1.727262e-05
17,[0 1],-0.571939,-0.562818,-1.159816,-1.159826,9.849936e-06
18,[0 1],-0.499289,-0.499288,-0.898768,-0.898762,-6.213792e-06
20,[0 1],-0.383151,-0.345683,-0.290415,-0.290412,-2.967301e-06
19,[0 1],-0.435966,-0.426458,-0.603762,-0.603766,4.198656e-06
21,[0 1],-0.341825,-0.258469,0.022813,0.022811,2.143323e-06
22,[0 1],-0.312761,-0.166440,0.317601,0.317602,-1.551913e-06
23,[0 1],-0.296498,-0.071311,0.578676,0.578675,1.091276e-06
24,[0 1],-0.293341,0.025147,0.795949,0.795949,-6.989618e-07
25,[0 1],-0.303347,0.121136,0.965395,0.965395,3.376756e-07
27,[0 1],-0.361862,0.304599,1.171819,1.171819,-4.678023e-07
26,[0 1],-0.326330,0.214869,1.088683,1.088683,3.591865e-08
28,[0 1],-0.409282,0.388655,1.223322,1.223321,1.028017e-06
30,[0 1],-0.536046,0.533616,1.267462,1.267459,3.208103e-06
31,[0 1],-0.613028,0.591821,1.275009,1.275015,-5.778080e-06
32,[0 1],-0.697218,0.639002,1.279036,1.279025,1.144104e-05
33,[0 1],-0.787049,0.674279,1.280678,1.280704,-2.669337e-05
29,[0 1],-0.467706,0.465471,1.252405,1.252407,-1.848113e-06
34,[0 1],-0.880847,0.696995,1.278104,1.278022,8.181839e-05
35,[0 1],-0.976864,0.706728,1.266623,1.267038,-4.148535e-04
36,[0 2],-1.023136,0.293272,0.616843,0.616586,2.563814e-04
37,[0 2],-0.922322,0.297173,0.736495,0.736525,-3.028959e-05
38,[0 2],-0.823090,0.315381,0.872011,0.872003,8.070487e-06
39,[0 2],-0.727460,0.347526,1.008939,1.008942,-3.299891e-06
40,[0 2],-0.637377,0.392954,1.130985,1.130984,1.812299e-06
41,[0 2],-0.554676,0.450740,1.222045,1.222047,-1.250513e-06
42,[0 2],-0.481041,0.519707,1.268773,1.268772,1.058824e-06
43,[0 2],-0.417971,0.598451,1.263080,1.263082,-1.087092e-06
44,[0 2],-0.366748,0.685369,1.203801,1.203800,1.377716e-06
45,[0 2],-0.328417,0.778693,1.096927,1.096930,-2.243374e-06
46,[0 2],-0.303758,0.876522,0.954276,0.954271,5.118774e-06
47,[0 2],-0.293272,0.976864,0.790981,0.791001,-2.025122e-05
48,[1 0],0.706728,-1.023136,-0.713395,-0.710771,-2.624255e-03
49,[1 0],0.703296,-0.926688,-0.442034,-0.442367,3.329780e-04
50,[1 0],0.686763,-0.831605,-0.189907,-0.189815,-9.179765e-05
51,[1 0],0.657436,-0.739659,0.031738,0.031701,3.699900e-05
52,[1 0],0.615863,-0.652563,0.216380,0.216399,-1.887729e-05
53,[1 0],0.562818,-0.571939,0.361571,0.361560,1.132154e-05
54,[1 0],0.499288,-0.499289,0.467685,0.467693,-7.639320e-06
55,[1 0],0.426458,-0.435966,0.536474,0.536469,5.641691e-06
56,[1 0],0.345683,-0.383151,0.569775,0.569780,-4.477739e-06
57,[1 0],0.258469,-0.341825,0.568573,0.568569,3.776825e-06
58,[1 0],0.166440,-0.312761,0.532541,0.532544,-3.359180e-06
59,[1 0],0.071311,-0.296498,0.460091,0.460088,3.139738e-06
60,[1 0],-0.025147,-0.293341,0.348953,0.348956,-3.075350e-06
61,[1 0],-0.121136,-0.303347,0.197212,0.197209,3.158275e-06
62,[1 0],-0.214869,-0.326330,0.004701,0.004704,-3.404038e-06
63,[1 0],-0.304599,-0.361862,-0.225513,-0.225517,3.864818e-06
64,[1 0],-0.388655,-0.409282,-0.485913,-0.485908,-4.650700e-06
65,[1 0],-0.465471,-0.467706,-0.764032,-0.764038,5.983278e-06
66,[1 0],-0.533616,-0.536046,-1.043021,-1.043013,-8.356085e-06
67,[1 0],-0.591821,-0.613028,-1.303439,-1.303452,1.294115e-05
68,[1 0],-0.639002,-0.697218,-1.526015,-1.525992,-2.301315e-05
69,[1 0],-0.674279,-0.787049,-1.694802,-1.694852,4.970287e-05
70,[1 0],-0.696995,-0.880847,-1.799926,-1.799781,-1.442630e-04
71,[1 0],-0.706728,-0.976864,-1.839194,-1.839899,7.055524e-04
72,[1 1],0.706728,-0.023136,1.230894,1.230894,3.552714e-15
73,[1 1],0.703885,0.067428,1.217182,1.217182,0.000000e+00
74,[1 1],0.689483,0.156886,1.175352,1.175352,-6.661338e-16
75,[1 1],0.663760,0.243767,1.115885,1.115885,6.661338e-16
76,[1 1],0.627139,0.326645,1.048934,1.048934,-2.220446e-16
77,[1 1],0.580219,0.404160,0.983373,0.983373,-4.440892e-16
78,[1 1],0.523773,0.475039,0.926298,0.926298,-2.331468e-15
79,[1 1],0.458726,0.538117,0.882929,0.882929,1.665335e-15
80,[1 1],0.386147,0.592360,0.856758,0.856758,-4.662937e-15
81,[1 1],0.307228,0.636876,0.849781,0.849781,-6.661338e-16
82,[1 1],0.223263,0.670935,0.862680,0.862680,-3.219647e-15
83,[1 1],0.135633,0.693977,0.894870,0.894870,5.107026e-15
84,[1 1],0.045776,0.705624,0.944382,0.944382,-1.443290e-15
85,[1 1],-0.044833,0.705684,1.007620,1.007620,8.881784e-16
86,[1 1],-0.134706,0.694157,1.079094,1.079094,6.661338e-16
87,[1 1],-0.222367,0.671232,1.151277,1.151277,1.554312e-15
88,[1 1],-0.306377,0.637286,1.214752,1.214752,-1.110223e-15
89,[1 1],-0.385356,0.592875,1.258803,1.258803,-4.440892e-16
90,[1 1],-0.458007,0.538730,1.272495,1.272495,8.881784e-16
91,[1 1],-0.523138,0.475738,1.246159,1.246159,-1.554312e-15
92,[1 1],-0.579679,0.404935,1.173030,1.173030,-6.661338e-16
93,[1 1],-0.626702,0.327483,1.050668,1.050668,4.662937e-15
94,[1 1],-0.663434,0.244653,0.881756,0.881756,-1.998401e-15
95,[1 1],-0.689273,0.157806,0.674030,0.674030,1.665335e-15
96,[1 1],-0.703794,0.068369,0.439276,0.439276,-1.165734e-15
97,[1 1],-0.706758,-0.022192,0.191620,0.191620,9.159340e-16
98,[1 1],-0.698118,-0.112388,-0.054474,-0.054474,-1.554312e-15
99,[1 1],-0.678015,-0.200739,-0.286044,-0.286044,1.665335e-16
100,[1 1],-0.646778,-0.285793,-0.492916,-0.492916,-1.831868e-15
101,[1 1],-0.604922,-0.366155,-0.668258,-0.668258,3.663736e-15
102,[1 1],-0.553133,-0.440505,-0.808413,-0.808413,6.661338e-16
103,[1 1],-0.492261,-0.507621,-0.912204,-0.912204,4.551914e-15
104,[1 1],-0.423306,-0.566402,-0.979976,-0.979976,-3.774758e-15
105,[1 1],-0.347401,-0.615883,-1.012627,-1.012627,-3.108624e-15
106,[1 1],-0.265792,-0.655252,-1.010857,-1.010857,5.329071e-15
107,[1 1],-0.179818,-0.683861,-0.974774,-0.974774,-3.108624e-15
108,[1 1],-0.090891,-0.701241,-0.903901,-0.903901,7.549517e-15
109,[1 1],-0.000472,-0.707107,-0.797605,-0.797605,-3.774758e-15
110,[1 1],0.089954,-0.701362,-0.655857,-0.655857,4.996004e-15
111,[1 1],0.178904,-0.684100,-0.480175,-0.480175,-5.440093e-15
112,[1 1],0.264916,-0.655606,-0.274545,-0.274545,2.997602e-15
113,[1 1],0.346578,-0.616347,-0.046035,-0.046035,-2.595146e-15
114,[1 1],0.422549,-0.566967,0.195116,0.195116,-6.133982e-15
115,[1 1],0.491583,-0.508278,0.436133,0.436133,-9.436896e-16
116,[1 1],0.552544,-0.441243,0.663016,0.663016,-2.331468e-15
117,[1 1],0.604432,-0.366963,0.862355,0.862355,-3.330669e-16
118,[1 1],0.646396,-0.286657,1.023233,1.023233,2.220446e-15
119,[1 1],0.677746,-0.201644,1.138786,1.138786,-1.554312e-15
120,[1 1],0.697967,-0.113320,1.207048,1.207048,5.329071e-15
121,[1 2],-0.706728,1.023136,1.035540,1.035126,4.149102e-04
122,[1 2],-0.703296,0.926688,1.147164,1.147219,-5.525811e-05
123,[1 2],-0.686763,0.831605,1.222221,1.222206,1.550514e-05
124,[1 2],-0.657436,0.739659,1.263613,1.263619,-6.197522e-06
125,[1 2],-0.615863,0.652563,1.277974,1.277971,3.062875e-06
126,[1 2],-0.562818,0.571939,1.274039,1.274041,-1.728449e-06
127,[1 2],-0.499288,0.499289,1.260916,1.260915,1.068104e-06
128,[1 2],-0.426458,0.435966,1.246587,1.246588,-6.893891e-07
129,[1 2],-0.345683,0.383151,1.236816,1.236816,4.528997e-07
130,[1 2],-0.258469,0.341825,1.234488,1.234489,-2.848703e-07
131,[1 2],-0.166440,0.312761,1.239323,1.239323,1.602951e-07
132,[1 2],-0.071311,0.296498,1.247939,1.247939,-5.226873e-08
133,[1 2],0.025147,0.293341,1.254249,1.254249,-5.568974e-08
134,[1 2],0.121136,0.303347,1.250239,1.250239,1.589077e-07
135,[1 2],0.214869,0.326330,1.227143,1.227144,-2.845427e-07
136,[1 2],0.304599,0.361862,1.176970,1.176969,4.382146e-07
139,[1 2],0.533616,0.536046,0.828741,0.828742,-1.572779e-06
137,[1 2],0.388655,0.409282,1.094162,1.094163,-6.606581e-07
138,[1 2],0.465471,0.467706,0.977061,0.977060,9.967934e-07
140,[1 2],0.591821,0.613028,0.656899,0.656896,2.677956e-06
141,[1 2],0.639002,0.697218,0.472704,0.472709,-5.121587e-06
142,[1 2],0.674279,0.787049,0.288841,0.288829,1.172789e-05
143,[1 2],0.696995,0.880847,0.117254,0.117290,-3.571327e-05
144,[1 2],0.706728,0.976864,-0.032792,-0.032974,1.820403e-04
145,[2 0],1.023136,-0.293272,1.184581,1.184128,4.527986e-04
146,[2 0],0.922322,-0.297173,1.151414,1.151460,-4.590696e-05
147,[2 0],0.823090,-0.315381,1.090068,1.090059,9.408087e-06
148,[2 0],0.727460,-0.347526,0.990264,0.990266,-2.312283e-06
149,[2 0],0.637377,-0.392954,0.843269,0.843269,1.743449e-07
150,[2 0],0.554676,-0.450740,0.644261,0.644260,8.508982e-07
152,[2 0],0.417971,-0.598451,0.102261,0.102258,3.197415e-06
151,[2 0],0.481041,-0.519707,0.394447,0.394449,-1.767995e-06
153,[2 0],0.366748,-0.685369,-0.216967,-0.216961,-6.307874e-06
154,[2 0],0.328417,-0.778693,-0.543062,-0.543077,1.507455e-05
155,[2 0],0.303758,-0.876522,-0.854391,-0.854341,-4.913833e-05
156,[2 0],0.293272,-0.976864,-1.131715,-1.131992,2.762784e-04
157,[2 1],1.023136,0.706728,0.140145,0.140072,7.324641e-05
158,[2 1],0.926688,0.703296,0.221484,0.221496,-1.133461e-05
159,[2 1],0.831605,0.686763,0.327066,0.327062,3.935771e-06
160,[2 1],0.739659,0.657436,0.455055,0.455057,-2.022860e-06
161,[2 1],0.652563,0.615863,0.600745,0.600744,1.321839e-06
162,[2 1],0.571939,0.562818,0.756018,0.756019,-1.006717e-06
163,[2 1],0.499289,0.499288,0.909513,0.909512,8.643209e-07
164,[2 1],0.435966,0.426458,1.047698,1.047698,-7.955974e-07
165,[2 1],0.383151,0.345683,1.156764,1.156764,7.893800e-07
166,[2 1],0.341825,0.258469,1.225008,1.225009,-8.054318e-07
167,[2 1],0.312761,0.166440,1.245068,1.245067,8.687405e-07
168,[2 1],0.296498,0.071311,1.215425,1.215426,-9.532961e-07
169,[2 1],0.293341,-0.025147,1.140713,1.140711,1.091350e-06
170,[2 1],0.303347,-0.121136,1.030811,1.030812,-1.271708e-06
171,[2 1],0.326330,-0.214869,0.899029,0.899028,1.542295e-06
172,[2 1],0.361862,-0.304599,0.759939,0.759941,-1.928741e-06
173,[2 1],0.409282,-0.388655,0.627404,0.627401,2.513862e-06
175,[2 1],0.536046,-0.533616,0.426256,0.426251,5.117160e-06
174,[2 1],0.467706,-0.465471,0.513187,0.513190,-3.461907e-06
176,[2 1],0.613028,-0.591821,0.372653,0.372661,-8.305326e-06
177,[2 1],0.697218,-0.639002,0.355690,0.355675,1.537085e-05
178,[2 1],0.787049,-0.674279,0.376196,0.376230,-3.437898e-05
179,[2 1],0.880847,-0.696995,0.432617,0.432514,1.030574e-04
180,[2 1],0.976864,-0.706728,0.520931,0.521451,-5.202880e-04
181,[2 2],0.293272,1.023136,0.207219,0.207467,-2.473887e-04
182,[2 2],0.297173,0.922322,0.376280,0.376252,2.874601e-05
183,[2 2],0.315381,0.823090,0.533663,0.533671,-7.405296e-06
184,[2 2],0.347526,0.727460,0.670342,0.670339,2.873963e-06
185,[2 2],0.392954,0.637377,0.781095,0.781097,-1.465518e-06
186,[2 2],0.450740,0.554676,0.864264,0.864263,9.102078e-07
187,[2 2],0.519707,0.481041,0.920737,0.920738,-6.659976e-07
188,[2 2],0.598451,0.417971,0.952577,0.952577,5.505633e-07
189,[2 2],0.685369,0.366748,0.961736,0.961737,-5.037696e-07
190,[2 2],0.778693,0.328417,0.949158,0.949157,4.450235e-07
191,[2 2],0.876522,0.303758,0.914456,0.914456,-6.728199e-08
192,[2 2],0.976864,0.293272,0.856212,0.856216,-3.729652e-06
